session,chamber,number,type,section,Cosponsr,IntrDate,Title,NameFull,major_topic_label,party_name
111,S,3265,IS,7,18,2010-04-27,A bill to restore Second Amendment rights in the District of Columbia.,John McCain,Government_Operations,Republican
111,S,3265,IS,8,18,2010-04-27,A bill to restore Second Amendment rights in the District of Columbia.,John McCain,Government_Operations,Republican
111,S,3265,IS,9,18,2010-04-27,A bill to restore Second Amendment rights in the District of Columbia.,John McCain,Government_Operations,Republican
111,S,3265,IS,10,18,2010-04-27,A bill to restore Second Amendment rights in the District of Columbia.,John McCain,Government_Operations,Republican
111,S,3265,IS,11,18,2010-04-27,A bill to restore Second Amendment rights in the District of Columbia.,John McCain,Government_Operations,Republican
111,S,3265,IS,12,18,2010-04-27,A bill to restore Second Amendment rights in the District of Columbia.,John McCain,Government_Operations,Republican
111,S,3265,IS,13,18,2010-04-27,A bill to restore Second Amendment rights in the District of Columbia.,John McCain,Government_Operations,Republican
111,S,3266,IS,1,16,2010-04-27,A bill to ensure the availability of loan guarantees for rural homeowners.,Michael Bennet,Energy,Democrat
111,S,3266,IS,2,16,2010-04-27,A bill to ensure the availability of loan guarantees for rural homeowners.,Michael Bennet,Energy,Democrat
111,S,3266,IS,3,16,2010-04-27,A bill to ensure the availability of loan guarantees for rural homeowners.,Michael Bennet,Energy,Democrat
111,S,3267,IS,1,4,2010-04-27,"A bill to improve the provision of assistance to fire departments, and for other purposes.",Christopher Dodd,Law_and_Crime,Democrat
111,S,3267,IS,2,4,2010-04-27,"A bill to improve the provision of assistance to fire departments, and for other purposes.",Christopher Dodd,Law_and_Crime,Democrat
111,S,3267,IS,3,4,2010-04-27,"A bill to improve the provision of assistance to fire departments, and for other purposes.",Christopher Dodd,Law_and_Crime,Democrat
111,S,3267,IS,4,4,2010-04-27,"A bill to improve the provision of assistance to fire departments, and for other purposes.",Christopher Dodd,Law_and_Crime,Democrat
111,S,3267,IS,5,4,2010-04-27,"A bill to improve the provision of assistance to fire departments, and for other purposes.",Christopher Dodd,Law_and_Crime,Democrat
111,S,3268,IS,1,1,2010-04-28,"A bill to amend title 49, United States Code, to prohibit individuals who have worked on motor vehicle safety issues at NHTSA from assisting motor vehicle manufacturers with NHTSA compliance matters for a period of 3 years after terminating employment at NHTSA, and for other purposes.",Barbara Boxer,Transportation,Democrat
111,S,3268,IS,2,1,2010-04-28,"A bill to amend title 49, United States Code, to prohibit individuals who have worked on motor vehicle safety issues at NHTSA from assisting motor vehicle manufacturers with NHTSA compliance matters for a period of 3 years after terminating employment at NHTSA, and for other purposes.",Barbara Boxer,Transportation,Democrat
111,S,3268,IS,3,1,2010-04-28,"A bill to amend title 49, United States Code, to prohibit individuals who have worked on motor vehicle safety issues at NHTSA from assisting motor vehicle manufacturers with NHTSA compliance matters for a period of 3 years after terminating employment at NHTSA, and for other purposes.",Barbara Boxer,Transportation,Democrat
111,S,3269,IS,1,7,2010-04-28,A bill to provide driver safety grants to States with graduated driver licensing laws that meet certain minimum requirements.,Kirsten Gillibrand,Transportation,Democrat
111,S,3269,IS,2,7,2010-04-28,A bill to provide driver safety grants to States with graduated driver licensing laws that meet certain minimum requirements.,Kirsten Gillibrand,Transportation,Democrat
111,S,3269,IS,3,7,2010-04-28,A bill to provide driver safety grants to States with graduated driver licensing laws that meet certain minimum requirements.,Kirsten Gillibrand,Transportation,Democrat
111,S,3269,IS,4,7,2010-04-28,A bill to provide driver safety grants to States with graduated driver licensing laws that meet certain minimum requirements.,Kirsten Gillibrand,Transportation,Democrat
111,S,327,IS,1,5,2009-01-26,A bill to amend the Violence Against Women Act of 1994 and the Omnibus Crime Control and Safe Streets Act of 1968 to improve assistance to domestic and sexual violence victims and provide for technical corrections.,Patrick Leahy,Law_and_Crime,Democrat
111,S,327,IS,2,5,2009-01-26,A bill to amend the Violence Against Women Act of 1994 and the Omnibus Crime Control and Safe Streets Act of 1968 to improve assistance to domestic and sexual violence victims and provide for technical corrections.,Patrick Leahy,Law_and_Crime,Democrat
111,S,327,IS,3,5,2009-01-26,A bill to amend the Violence Against Women Act of 1994 and the Omnibus Crime Control and Safe Streets Act of 1968 to improve assistance to domestic and sexual violence victims and provide for technical corrections.,Patrick Leahy,Law_and_Crime,Democrat
111,S,327,IS,4,5,2009-01-26,A bill to amend the Violence Against Women Act of 1994 and the Omnibus Crime Control and Safe Streets Act of 1968 to improve assistance to domestic and sexual violence victims and provide for technical corrections.,Patrick Leahy,Law_and_Crime,Democrat
111,S,327,IS,5,5,2009-01-26,A bill to amend the Violence Against Women Act of 1994 and the Omnibus Crime Control and Safe Streets Act of 1968 to improve assistance to domestic and sexual violence victims and provide for technical corrections.,Patrick Leahy,Law_and_Crime,Democrat
