session,chamber,number,type,section,Cosponsr,IntrDate,Title,NameFull,major_topic_label,party_name
107,S,2579,IS,1,1,2002-06-05,"A bill to amend the Clean Air Act to limit access to off-site consequences analysis information in order to reduce the risk of criminal release from stationary sources, and for other purposes.",Christopher Bond,Environment,Republican
107,S,2579,IS,2,1,2002-06-05,"A bill to amend the Clean Air Act to limit access to off-site consequences analysis information in order to reduce the risk of criminal release from stationary sources, and for other purposes.",Christopher Bond,Environment,Republican
107,S,2579,IS,3,1,2002-06-05,"A bill to amend the Clean Air Act to limit access to off-site consequences analysis information in order to reduce the risk of criminal release from stationary sources, and for other purposes.",Christopher Bond,Environment,Republican
107,S,258,IS,1,26,2001-02-06,A bill to amend title XVIII of the Social Security Act to provide for coverage under the medicare program of annual screening pap smear and screening pelvic exams.,Olympia Snowe,Health,Republican
107,S,258,IS,2,26,2001-02-06,A bill to amend title XVIII of the Social Security Act to provide for coverage under the medicare program of annual screening pap smear and screening pelvic exams.,Olympia Snowe,Health,Republican
107,S,2580,IS,1,1,2002-06-05,"A bill to amend title 49, United States Code, to require the National Transportation Safety Board to investigate all fatal railroad grade crossing accidents.",Paul Wellstone,Transportation,Democrat
107,S,2580,IS,2,1,2002-06-05,"A bill to amend title 49, United States Code, to require the National Transportation Safety Board to investigate all fatal railroad grade crossing accidents.",Paul Wellstone,Transportation,Democrat
107,S,2580,IS,3,1,2002-06-05,"A bill to amend title 49, United States Code, to require the National Transportation Safety Board to investigate all fatal railroad grade crossing accidents.",Paul Wellstone,Transportation,Democrat
107,S,2581,IS,1,2,2002-06-05,A bill to conduct a study on the effectiveness of ballistic imaging technology and evaluate its effectiveness as a law enforcement tool.,Zell Miller,Technology,Democrat
107,S,2581,IS,2,2,2002-06-05,A bill to conduct a study on the effectiveness of ballistic imaging technology and evaluate its effectiveness as a law enforcement tool.,Zell Miller,Technology,Democrat
107,S,2581,IS,3,2,2002-06-05,A bill to conduct a study on the effectiveness of ballistic imaging technology and evaluate its effectiveness as a law enforcement tool.,Zell Miller,Technology,Democrat
107,S,2581,IS,4,2,2002-06-05,A bill to conduct a study on the effectiveness of ballistic imaging technology and evaluate its effectiveness as a law enforcement tool.,Zell Miller,Technology,Democrat
107,S,2581,IS,5,2,2002-06-05,A bill to conduct a study on the effectiveness of ballistic imaging technology and evaluate its effectiveness as a law enforcement tool.,Zell Miller,Technology,Democrat
107,S,2581,IS,6,2,2002-06-05,A bill to conduct a study on the effectiveness of ballistic imaging technology and evaluate its effectiveness as a law enforcement tool.,Zell Miller,Technology,Democrat
107,S,2582,IS,1,1,2002-06-05,"A bill to require a report to Congress on a national strategy for the deployment of high speed broadband Internet telecommunications services, and for other purposes.",Joseph Lieberman,Technology,Democrat
107,S,2582,IS,2,1,2002-06-05,"A bill to require a report to Congress on a national strategy for the deployment of high speed broadband Internet telecommunications services, and for other purposes.",Joseph Lieberman,Technology,Democrat
107,S,2583,IS,1,4,2002-06-05,"A bill to amend title 38, United States Code, to require the Secretary of Veterans Affairs in the management of health care services for veterans to place certain low-income veterans in a higher health-care priority category.",Jon Corzine,Health,Democrat
107,S,2584,IS,1,3,2002-06-05,"A bill to support certain housing proposals in the fiscal year 2003 budget for the Federal Government, including the downpayment assistance initiative under the HOME Investment Partnerships Act, and for other purposes.",Wayne Allard,Housing,Republican
107,S,2584,IS,2,3,2002-06-05,"A bill to support certain housing proposals in the fiscal year 2003 budget for the Federal Government, including the downpayment assistance initiative under the HOME Investment Partnerships Act, and for other purposes.",Wayne Allard,Housing,Republican
107,S,2584,IS,3,3,2002-06-05,"A bill to support certain housing proposals in the fiscal year 2003 budget for the Federal Government, including the downpayment assistance initiative under the HOME Investment Partnerships Act, and for other purposes.",Wayne Allard,Housing,Republican
107,S,2584,IS,4,3,2002-06-05,"A bill to support certain housing proposals in the fiscal year 2003 budget for the Federal Government, including the downpayment assistance initiative under the HOME Investment Partnerships Act, and for other purposes.",Wayne Allard,Housing,Republican
107,S,2585,IS,1,1,2002-06-05,A bill to direct the Secretary of the Interior to disclaim any Federal interest in lands adjacent to Spirit Lake and Twin Lakes in the State of Idaho resulting from possible omission of lands from an 1880 survey.,Larry Craig,Public_Lands,Republican
107,S,2585,IS,2,1,2002-06-05,A bill to direct the Secretary of the Interior to disclaim any Federal interest in lands adjacent to Spirit Lake and Twin Lakes in the State of Idaho resulting from possible omission of lands from an 1880 survey.,Larry Craig,Public_Lands,Republican
107,S,2586,IS,1,1,2002-06-05,"A bill to exclude United States persons from the definition of ""foreign power"" under the Foreign Intelligence Surveillance Act of 1978 relating to international terrorism.",Charles Schumer,International_Affairs,Democrat
107,S,2587,IS,1,1,2002-06-05,A bill to establish the Joint Federal and State Navigable Waters Commission for Alaska.,Frank Murkowski,Transportation,Republican
107,S,2587,IS,2,1,2002-06-05,A bill to establish the Joint Federal and State Navigable Waters Commission for Alaska.,Frank Murkowski,Transportation,Republican
107,S,2587,IS,3,1,2002-06-05,A bill to establish the Joint Federal and State Navigable Waters Commission for Alaska.,Frank Murkowski,Transportation,Republican
107,S,2587,IS,4,1,2002-06-05,A bill to establish the Joint Federal and State Navigable Waters Commission for Alaska.,Frank Murkowski,Transportation,Republican
107,S,2587,IS,5,1,2002-06-05,A bill to establish the Joint Federal and State Navigable Waters Commission for Alaska.,Frank Murkowski,Transportation,Republican
107,S,2587,IS,6,1,2002-06-05,A bill to establish the Joint Federal and State Navigable Waters Commission for Alaska.,Frank Murkowski,Transportation,Republican
107,S,2587,IS,7,1,2002-06-05,A bill to establish the Joint Federal and State Navigable Waters Commission for Alaska.,Frank Murkowski,Transportation,Republican
107,S,2587,IS,8,1,2002-06-05,A bill to establish the Joint Federal and State Navigable Waters Commission for Alaska.,Frank Murkowski,Transportation,Republican
107,S,2587,IS,9,1,2002-06-05,A bill to establish the Joint Federal and State Navigable Waters Commission for Alaska.,Frank Murkowski,Transportation,Republican
107,S,2587,IS,10,1,2002-06-05,A bill to establish the Joint Federal and State Navigable Waters Commission for Alaska.,Frank Murkowski,Transportation,Republican
107,S,2588,IS,1,1,2002-06-05,A bill to prohibit the exportation of natural gas from the United States to Mexico for use in electric energy generation units near the United states border that do not comply with air quality control requirements that provide air quality protection that is at least equivalent to the protection provided by requirements applicable in the United States.,Dianne Feinstein,Environment,Democrat
107,S,2588,IS,2,1,2002-06-05,A bill to prohibit the exportation of natural gas from the United States to Mexico for use in electric energy generation units near the United states border that do not comply with air quality control requirements that provide air quality protection that is at least equivalent to the protection provided by requirements applicable in the United States.,Dianne Feinstein,Environment,Democrat
107,S,2589,IS,1,1,2002-06-05,"A bill to provide for the prohibition of snow machines within the boundaries of the ""Old Park"" within the boundaries of Denali National Park and Preserve, and for other purposes.",Frank Murkowski,Public_Lands,Republican
107,S,259,IS,1,3,2001-02-06,"A bill to authorize funding the Department of Energy to enhance its mission areas through Technology Transfer and Partnerships for fiscal years 2002 through 2006, and for other purposes.",Jeff Bingaman,Energy,Democrat
107,S,259,IS,2,3,2001-02-06,"A bill to authorize funding the Department of Energy to enhance its mission areas through Technology Transfer and Partnerships for fiscal years 2002 through 2006, and for other purposes.",Jeff Bingaman,Energy,Democrat
107,S,259,IS,3,3,2001-02-06,"A bill to authorize funding the Department of Energy to enhance its mission areas through Technology Transfer and Partnerships for fiscal years 2002 through 2006, and for other purposes.",Jeff Bingaman,Energy,Democrat
107,S,259,IS,4,3,2001-02-06,"A bill to authorize funding the Department of Energy to enhance its mission areas through Technology Transfer and Partnerships for fiscal years 2002 through 2006, and for other purposes.",Jeff Bingaman,Energy,Democrat
107,S,259,IS,5,3,2001-02-06,"A bill to authorize funding the Department of Energy to enhance its mission areas through Technology Transfer and Partnerships for fiscal years 2002 through 2006, and for other purposes.",Jeff Bingaman,Energy,Democrat
107,S,259,IS,6,3,2001-02-06,"A bill to authorize funding the Department of Energy to enhance its mission areas through Technology Transfer and Partnerships for fiscal years 2002 through 2006, and for other purposes.",Jeff Bingaman,Energy,Democrat
107,S,259,IS,7,3,2001-02-06,"A bill to authorize funding the Department of Energy to enhance its mission areas through Technology Transfer and Partnerships for fiscal years 2002 through 2006, and for other purposes.",Jeff Bingaman,Energy,Democrat
107,S,2590,IS,1,3,2002-06-05,A bill to amend title IX of the Public Health Service Act to provide for the improvement of patient safety and to reduce the incidence of events that adversely effect patient safety.,James Jeffords,Health,Democrat
107,S,2590,IS,2,3,2002-06-05,A bill to amend title IX of the Public Health Service Act to provide for the improvement of patient safety and to reduce the incidence of events that adversely effect patient safety.,James Jeffords,Health,Democrat
107,S,2590,IS,3,3,2002-06-05,A bill to amend title IX of the Public Health Service Act to provide for the improvement of patient safety and to reduce the incidence of events that adversely effect patient safety.,James Jeffords,Health,Democrat
107,S,2591,IS,1,19,2002-06-05,"A bill to reauthorize the Mammography Quality Standards Act, and for other purposes.",Barbara Mikulski,Health,Democrat
107,S,2591,IS,2,19,2002-06-05,"A bill to reauthorize the Mammography Quality Standards Act, and for other purposes.",Barbara Mikulski,Health,Democrat
107,S,2591,IS,3,19,2002-06-05,"A bill to reauthorize the Mammography Quality Standards Act, and for other purposes.",Barbara Mikulski,Health,Democrat
107,S,2591,IS,4,19,2002-06-05,"A bill to reauthorize the Mammography Quality Standards Act, and for other purposes.",Barbara Mikulski,Health,Democrat
107,S,2592,IS,1,5,2002-06-05,"A bill to provide affordable housing opportunities for families that are headed by grandparents and other relatives of children, and for other purposes.",Mary Landrieu,Housing,Democrat
107,S,2592,IS,2,5,2002-06-05,"A bill to provide affordable housing opportunities for families that are headed by grandparents and other relatives of children, and for other purposes.",Mary Landrieu,Housing,Democrat
107,S,2592,IS,3,5,2002-06-05,"A bill to provide affordable housing opportunities for families that are headed by grandparents and other relatives of children, and for other purposes.",Mary Landrieu,Housing,Democrat
107,S,2592,IS,4,5,2002-06-05,"A bill to provide affordable housing opportunities for families that are headed by grandparents and other relatives of children, and for other purposes.",Mary Landrieu,Housing,Democrat
