session,chamber,number,type,section,Cosponsr,IntrDate,Title,NameFull,major_topic_label,party_name
110,HR,2493,IH,1,88,2007-05-24,"To amend the Clean Air Act to provide for a reduction in the number of boutique fuels, and for other purposes.",Roy Blunt,Environment,Republican
110,HR,2493,IH,2,88,2007-05-24,"To amend the Clean Air Act to provide for a reduction in the number of boutique fuels, and for other purposes.",Roy Blunt,Environment,Republican
110,HR,2493,IH,3,88,2007-05-24,"To amend the Clean Air Act to provide for a reduction in the number of boutique fuels, and for other purposes.",Roy Blunt,Environment,Republican
110,HR,2494,IH,1,1,2007-05-24,"To amend title 18, United States Code, to increase from 1 year to 2 years the post-employment restrictions of Members and elected officers of either House of Congress.",Nancy Boyda,Government_Operations,Democrat
110,HR,2495,IH,1,25,2007-05-24,"To amend title 10, United States Code, to extend military commissary and exchange store privileges to veterans with a compensable service-connected disability and to their dependents.",Dan Burton,Defense,Republican
110,HR,2495,IH,2,25,2007-05-24,"To amend title 10, United States Code, to extend military commissary and exchange store privileges to veterans with a compensable service-connected disability and to their dependents.",Dan Burton,Defense,Republican
110,HR,2496,IH,1,5,2007-05-24,"To provide for the establishment of a partnership between the Secretary of Energy and appropriate industry groups for the creation of a transportation fuel conservation education campaign, and for other purposes.",K. Conaway,Energy,Republican
110,HR,2496,IH,2,5,2007-05-24,"To provide for the establishment of a partnership between the Secretary of Energy and appropriate industry groups for the creation of a transportation fuel conservation education campaign, and for other purposes.",K. Conaway,Energy,Republican
110,HR,2497,IH,1,3,2007-05-24,"To restore fairness and reliability to the medical justice system and promote patient safety by fostering alternatives to current medical tort litigation, and for other purposes.",Jim Cooper,Health,Democrat
110,HR,2497,IH,2,3,2007-05-24,"To restore fairness and reliability to the medical justice system and promote patient safety by fostering alternatives to current medical tort litigation, and for other purposes.",Jim Cooper,Health,Democrat
110,HR,2497,IH,3,3,2007-05-24,"To restore fairness and reliability to the medical justice system and promote patient safety by fostering alternatives to current medical tort litigation, and for other purposes.",Jim Cooper,Health,Democrat
110,HR,2498,IH,1,4,2007-05-24,"To provide for a study regarding development of a comprehensive integrated regional water management plan that would address four general areas of regional water planning in both the San Joaquin River Hydrologic Region and the Tulare Lake Hydrologic Region, inclusive of Kern, Tulare, Kings, Fresno, Madera, Merced, Stanislaus, and San Joaquin Counties, California, and to provide that such plan be the guide by which those counties use as a mechanism to address and solve long-term water needs in a sustainable and equitable manner.",Jim Costa,Public_Lands,Democrat
110,HR,2499,IH,1,18,2007-05-24,To amend the Small Business Act to expand and improve the assistance provided by Small Business Development Centers to Colonias.,Henry Cuellar,Domestic_Commerce,Democrat
110,HR,2499,IH,2,18,2007-05-24,To amend the Small Business Act to expand and improve the assistance provided by Small Business Development Centers to Colonias.,Henry Cuellar,Domestic_Commerce,Democrat
110,HR,25,IH,1,72,2007-01-04,"To promote freedom, fairness, and economic opportunity by repealing the income tax and other taxes, abolishing the Internal Revenue Service, and enacting a national sales tax to be administered primarily by the States.",John Linder,Macroeconomics,Republican
110,HR,25,IH,2,72,2007-01-04,"To promote freedom, fairness, and economic opportunity by repealing the income tax and other taxes, abolishing the Internal Revenue Service, and enacting a national sales tax to be administered primarily by the States.",John Linder,Macroeconomics,Republican
