session,chamber,number,type,section,Cosponsr,IntrDate,Title,NameFull,major_topic_label,party_name
109,S,1002,IS,2,23,2005-05-11,"A bill to amend title XVIII of the Social Security Act to make improvements in payments to hospitals under the medicare program, and for other purposes.",Charles Grassley,Health,Republican
109,S,1002,IS,3,23,2005-05-11,"A bill to amend title XVIII of the Social Security Act to make improvements in payments to hospitals under the medicare program, and for other purposes.",Charles Grassley,Health,Republican
109,S,1002,IS,4,23,2005-05-11,"A bill to amend title XVIII of the Social Security Act to make improvements in payments to hospitals under the medicare program, and for other purposes.",Charles Grassley,Health,Republican
109,S,1003,IS,1,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,2,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,3,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,4,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,5,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,6,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,7,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,8,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,9,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,10,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,11,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,12,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,13,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,14,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,15,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,16,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,17,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,18,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,19,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,20,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,21,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,22,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,23,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,24,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,25,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,26,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,27,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,28,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,29,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,30,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,31,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,32,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1003,IS,33,1,2005-05-11,"A bill to amend the Act of December 22, 1974, and for other purposes.",John McCain,Government_Operations,Republican
109,S,1004,IS,1,5,2005-05-11,"A bill to provide the Federal Trade Commission with the resources necessary to protect users of the Internet from the unfair and deceptive acts and practices associated with spyware, and for other purposes.",George Allen,Technology,Republican
109,S,1004,IS,2,5,2005-05-11,"A bill to provide the Federal Trade Commission with the resources necessary to protect users of the Internet from the unfair and deceptive acts and practices associated with spyware, and for other purposes.",George Allen,Technology,Republican
109,S,1004,IS,3,5,2005-05-11,"A bill to provide the Federal Trade Commission with the resources necessary to protect users of the Internet from the unfair and deceptive acts and practices associated with spyware, and for other purposes.",George Allen,Technology,Republican
109,S,1004,IS,4,5,2005-05-11,"A bill to provide the Federal Trade Commission with the resources necessary to protect users of the Internet from the unfair and deceptive acts and practices associated with spyware, and for other purposes.",George Allen,Technology,Republican
109,S,1004,IS,5,5,2005-05-11,"A bill to provide the Federal Trade Commission with the resources necessary to protect users of the Internet from the unfair and deceptive acts and practices associated with spyware, and for other purposes.",George Allen,Technology,Republican
109,S,1004,IS,6,5,2005-05-11,"A bill to provide the Federal Trade Commission with the resources necessary to protect users of the Internet from the unfair and deceptive acts and practices associated with spyware, and for other purposes.",George Allen,Technology,Republican
109,S,1004,IS,7,5,2005-05-11,"A bill to provide the Federal Trade Commission with the resources necessary to protect users of the Internet from the unfair and deceptive acts and practices associated with spyware, and for other purposes.",George Allen,Technology,Republican
109,S,1005,IS,1,1,2005-05-11,A bill to amend the Richard B. Russell National School Lunch Act to permit certain summer food pilot programs to be carried out in all States and by all service institutions.,Richard Lugar,Social_Welfare,Republican
109,S,1006,IS,1,2,2005-05-11,A bill to reimburse States and local governments for indirect costs relating to the incarceration of illegal criminal aliens.,Jon Kyl,Labor,Republican
109,S,1006,IS,2,2,2005-05-11,A bill to reimburse States and local governments for indirect costs relating to the incarceration of illegal criminal aliens.,Jon Kyl,Labor,Republican
109,S,1006,IS,3,2,2005-05-11,A bill to reimburse States and local governments for indirect costs relating to the incarceration of illegal criminal aliens.,Jon Kyl,Labor,Republican
109,S,1007,IS,1,10,2005-05-11,A bill to prevent a severe reduction in the Federal medical assistance percentage determined for a State for fiscal year 2006.,Jeff Bingaman,Health,Democrat
109,S,1007,IS,2,10,2005-05-11,A bill to prevent a severe reduction in the Federal medical assistance percentage determined for a State for fiscal year 2006.,Jeff Bingaman,Health,Democrat
109,S,1007,IS,3,10,2005-05-11,A bill to prevent a severe reduction in the Federal medical assistance percentage determined for a State for fiscal year 2006.,Jeff Bingaman,Health,Democrat
109,S,1008,IS,1,1,2005-05-12,A bill to amend the Internal Revenue Code of 1986 to add meningococcal vaccines to the list of taxable vaccines for purposes of the Vaccine Injury Compensation Trust Fund.,Richard Santorum,Health,Republican
109,S,1009,IS,1,1,2005-05-12,"A bill to direct the Secretary of the Interior to extend certain water contracts in Idaho, and for other purposes.",Michael Crapo,Public_Lands,Republican
109,S,101,IS,1,1,2005-01-24,"A bill to convey to the town of Frannie, Wyoming, certain land withdrawn by the Commissioner of Reclamation.",Michael Enzi,Public_Lands,Republican
109,S,1010,IS,1,20,2005-05-12,"A bill to amend title XVIII of the Social Security Act to improve patient access to, and utilization of, the colorectal cancer screening benefit under the Medicare Program.",Richard Santorum,Health,Republican
109,S,1010,IS,2,20,2005-05-12,"A bill to amend title XVIII of the Social Security Act to improve patient access to, and utilization of, the colorectal cancer screening benefit under the Medicare Program.",Richard Santorum,Health,Republican
109,S,1010,IS,3,20,2005-05-12,"A bill to amend title XVIII of the Social Security Act to improve patient access to, and utilization of, the colorectal cancer screening benefit under the Medicare Program.",Richard Santorum,Health,Republican
109,S,1010,IS,4,20,2005-05-12,"A bill to amend title XVIII of the Social Security Act to improve patient access to, and utilization of, the colorectal cancer screening benefit under the Medicare Program.",Richard Santorum,Health,Republican
109,S,1010,IS,5,20,2005-05-12,"A bill to amend title XVIII of the Social Security Act to improve patient access to, and utilization of, the colorectal cancer screening benefit under the Medicare Program.",Richard Santorum,Health,Republican
109,S,1011,IS,1,1,2005-05-12,A bill to establish a national historic country store preservation program.,James Jeffords,Public_Lands,Democrat
109,S,1011,IS,2,1,2005-05-12,A bill to establish a national historic country store preservation program.,James Jeffords,Public_Lands,Democrat
109,S,1011,IS,3,1,2005-05-12,A bill to establish a national historic country store preservation program.,James Jeffords,Public_Lands,Democrat
109,S,1011,IS,4,1,2005-05-12,A bill to establish a national historic country store preservation program.,James Jeffords,Public_Lands,Democrat
109,S,1012,IS,1,13,2005-05-12,"A bill to amend the Public Health Service Act, the Employee Retirement Income Security Act of 1974, and the Internal Revenue Code of 1986 to protect consumers in managed care plans and other health coverage",Edward Kennedy,Health,Democrat
109,S,1012,IS,2,13,2005-05-12,"A bill to amend the Public Health Service Act, the Employee Retirement Income Security Act of 1974, and the Internal Revenue Code of 1986 to protect consumers in managed care plans and other health coverage",Edward Kennedy,Health,Democrat
109,S,1012,IS,3,13,2005-05-12,"A bill to amend the Public Health Service Act, the Employee Retirement Income Security Act of 1974, and the Internal Revenue Code of 1986 to protect consumers in managed care plans and other health coverage",Edward Kennedy,Health,Democrat
