session,chamber,number,type,section,Cosponsr,IntrDate,Title,NameFull,major_topic_label,party_name
107,S,299,IS,7,1,2001-02-08,"A bill to provide for enhanced safety, public awareness, and environmental protection in pipeline transportation, and for other purposes.",Patty Murray,Energy,Democrat
107,S,299,IS,8,1,2001-02-08,"A bill to provide for enhanced safety, public awareness, and environmental protection in pipeline transportation, and for other purposes.",Patty Murray,Energy,Democrat
107,S,299,IS,9,1,2001-02-08,"A bill to provide for enhanced safety, public awareness, and environmental protection in pipeline transportation, and for other purposes.",Patty Murray,Energy,Democrat
107,S,299,IS,10,1,2001-02-08,"A bill to provide for enhanced safety, public awareness, and environmental protection in pipeline transportation, and for other purposes.",Patty Murray,Energy,Democrat
107,S,299,IS,11,1,2001-02-08,"A bill to provide for enhanced safety, public awareness, and environmental protection in pipeline transportation, and for other purposes.",Patty Murray,Energy,Democrat
107,S,299,IS,12,1,2001-02-08,"A bill to provide for enhanced safety, public awareness, and environmental protection in pipeline transportation, and for other purposes.",Patty Murray,Energy,Democrat
107,S,299,IS,13,1,2001-02-08,"A bill to provide for enhanced safety, public awareness, and environmental protection in pipeline transportation, and for other purposes.",Patty Murray,Energy,Democrat
107,S,299,IS,14,1,2001-02-08,"A bill to provide for enhanced safety, public awareness, and environmental protection in pipeline transportation, and for other purposes.",Patty Murray,Energy,Democrat
107,S,299,IS,15,1,2001-02-08,"A bill to provide for enhanced safety, public awareness, and environmental protection in pipeline transportation, and for other purposes.",Patty Murray,Energy,Democrat
107,S,299,IS,16,1,2001-02-08,"A bill to provide for enhanced safety, public awareness, and environmental protection in pipeline transportation, and for other purposes.",Patty Murray,Energy,Democrat
107,S,299,IS,17,1,2001-02-08,"A bill to provide for enhanced safety, public awareness, and environmental protection in pipeline transportation, and for other purposes.",Patty Murray,Energy,Democrat
107,S,299,IS,18,1,2001-02-08,"A bill to provide for enhanced safety, public awareness, and environmental protection in pipeline transportation, and for other purposes.",Patty Murray,Energy,Democrat
107,S,299,IS,19,1,2001-02-08,"A bill to provide for enhanced safety, public awareness, and environmental protection in pipeline transportation, and for other purposes.",Patty Murray,Energy,Democrat
107,S,2990,IS,1,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,2,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,3,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,4,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,5,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,6,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,7,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,8,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,9,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,10,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,11,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,12,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,13,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,14,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,15,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,16,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,17,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,18,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,19,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
107,S,2990,IS,20,4,2002-09-23,"A bill to provide for programs and activities to improve the health of Hispanic individuals, and for other purposes.",Jeff Bingaman,Health,Democrat
