session,chamber,number,type,section,Cosponsr,IntrDate,Title,NameFull,major_topic_label,party_name
108,S,480,IS,2,45,2003-02-27,"A bill to provide competitive grants for training court reporters and closed captioners to meet requirements for realtime writers under the Telecommunications Act of 1996, and for other purposes.",Thomas Harkin,Technology,Democrat
108,S,480,IS,3,45,2003-02-27,"A bill to provide competitive grants for training court reporters and closed captioners to meet requirements for realtime writers under the Telecommunications Act of 1996, and for other purposes.",Thomas Harkin,Technology,Democrat
108,S,480,IS,4,45,2003-02-27,"A bill to provide competitive grants for training court reporters and closed captioners to meet requirements for realtime writers under the Telecommunications Act of 1996, and for other purposes.",Thomas Harkin,Technology,Democrat
108,S,480,IS,5,45,2003-02-27,"A bill to provide competitive grants for training court reporters and closed captioners to meet requirements for realtime writers under the Telecommunications Act of 1996, and for other purposes.",Thomas Harkin,Technology,Democrat
108,S,481,IS,1,7,2003-02-27,"A bill to amend chapter 84 of title 5, United States Code, to provide that certain Federal annuity computations are adjusted by 1 percentage point relating to periods of receiving disability payments, and for other purposes.",George Allen,Government_Operations,Republican
108,S,482,IS,1,1,2003-02-27,"A bill to reauthorize and amend the Magnuson-Stevens Fishery Conservation and Management Act, and for other purposes.",Susan Collins,Environment,Republican
108,S,482,IS,2,1,2003-02-27,"A bill to reauthorize and amend the Magnuson-Stevens Fishery Conservation and Management Act, and for other purposes.",Susan Collins,Environment,Republican
108,S,482,IS,3,1,2003-02-27,"A bill to reauthorize and amend the Magnuson-Stevens Fishery Conservation and Management Act, and for other purposes.",Susan Collins,Environment,Republican
108,S,482,IS,4,1,2003-02-27,"A bill to reauthorize and amend the Magnuson-Stevens Fishery Conservation and Management Act, and for other purposes.",Susan Collins,Environment,Republican
108,S,482,IS,5,1,2003-02-27,"A bill to reauthorize and amend the Magnuson-Stevens Fishery Conservation and Management Act, and for other purposes.",Susan Collins,Environment,Republican
108,S,482,IS,6,1,2003-02-27,"A bill to reauthorize and amend the Magnuson-Stevens Fishery Conservation and Management Act, and for other purposes.",Susan Collins,Environment,Republican
108,S,482,IS,7,1,2003-02-27,"A bill to reauthorize and amend the Magnuson-Stevens Fishery Conservation and Management Act, and for other purposes.",Susan Collins,Environment,Republican
108,S,482,IS,8,1,2003-02-27,"A bill to reauthorize and amend the Magnuson-Stevens Fishery Conservation and Management Act, and for other purposes.",Susan Collins,Environment,Republican
108,S,482,IS,9,1,2003-02-27,"A bill to reauthorize and amend the Magnuson-Stevens Fishery Conservation and Management Act, and for other purposes.",Susan Collins,Environment,Republican
108,S,482,IS,10,1,2003-02-27,"A bill to reauthorize and amend the Magnuson-Stevens Fishery Conservation and Management Act, and for other purposes.",Susan Collins,Environment,Republican
