session,chamber,number,type,section,Cosponsr,IntrDate,Title,NameFull,major_topic_label,party_name
113,S,2461,IS,4,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
113,S,2461,IS,5,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
113,S,2461,IS,6,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
113,S,2461,IS,7,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
113,S,2461,IS,8,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
113,S,2461,IS,9,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
113,S,2461,IS,10,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
113,S,2461,IS,11,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
113,S,2461,IS,12,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
113,S,2461,IS,13,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
113,S,2461,IS,14,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
113,S,2461,IS,15,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
113,S,2461,IS,16,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
113,S,2461,IS,17,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
113,S,2461,IS,18,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
113,S,2461,IS,19,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
113,S,2461,IS,20,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
113,S,2461,IS,21,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
113,S,2461,IS,22,1,2014-06-11,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",John Rockefeller,Health,Democrat
