session,chamber,number,type,section,Cosponsr,IntrDate,Title,NameFull,major_topic_label,party_name
107,S,706,IS,6,38,2001-04-05,"A bill to amend the Social Security Act to establish programs to alleviate the nursing profession shortage, and for other purposes.",John Kerry,Health,Democrat
107,S,707,IS,1,1,2001-04-05,"A bill to provide grants for special environmental assistance for the regulation of communities and habitat (""SEARCH grants"") to small communities.",Michael Crapo,Housing,Republican
107,S,707,IS,2,1,2001-04-05,"A bill to provide grants for special environmental assistance for the regulation of communities and habitat (""SEARCH grants"") to small communities.",Michael Crapo,Housing,Republican
107,S,707,IS,3,1,2001-04-05,"A bill to provide grants for special environmental assistance for the regulation of communities and habitat (""SEARCH grants"") to small communities.",Michael Crapo,Housing,Republican
107,S,707,IS,4,1,2001-04-05,"A bill to provide grants for special environmental assistance for the regulation of communities and habitat (""SEARCH grants"") to small communities.",Michael Crapo,Housing,Republican
107,S,708,IS,1,37,2001-04-05,A bill to provide the citizens of the United States and Congress with a report on coordinated actions by Federal agencies to prevent the introduction of foot and mouth disease and bovine spongiform encephalopathy into the United States and other information to assess the economic and public health impacts associated with the potential threats presented by those diseases.,Orrin Hatch,Agriculture,Republican
107,S,708,IS,2,37,2001-04-05,A bill to provide the citizens of the United States and Congress with a report on coordinated actions by Federal agencies to prevent the introduction of foot and mouth disease and bovine spongiform encephalopathy into the United States and other information to assess the economic and public health impacts associated with the potential threats presented by those diseases.,Orrin Hatch,Agriculture,Republican
107,S,709,IS,1,1,2001-04-05,A bill to amend the Internal Revenue Code of 1986 to clarify the tax treatment of Alaska Native Settlement Trusts.,Frank Murkowski,Public_Lands,Republican
107,S,709,IS,2,1,2001-04-05,A bill to amend the Internal Revenue Code of 1986 to clarify the tax treatment of Alaska Native Settlement Trusts.,Frank Murkowski,Public_Lands,Republican
107,S,71,IS,1,1,2001-01-22,"A bill to amend the Federal Power Act to improve the hydroelectric licensing process by granting the Federal Energy Regulatory Commission statutory authority to better coordinate participation by other agencies and entities, and for other purposes.",Larry Craig,Energy,Republican
107,S,71,IS,2,1,2001-01-22,"A bill to amend the Federal Power Act to improve the hydroelectric licensing process by granting the Federal Energy Regulatory Commission statutory authority to better coordinate participation by other agencies and entities, and for other purposes.",Larry Craig,Energy,Republican
107,S,71,IS,3,1,2001-01-22,"A bill to amend the Federal Power Act to improve the hydroelectric licensing process by granting the Federal Energy Regulatory Commission statutory authority to better coordinate participation by other agencies and entities, and for other purposes.",Larry Craig,Energy,Republican
107,S,71,IS,4,1,2001-01-22,"A bill to amend the Federal Power Act to improve the hydroelectric licensing process by granting the Federal Energy Regulatory Commission statutory authority to better coordinate participation by other agencies and entities, and for other purposes.",Larry Craig,Energy,Republican
107,S,71,IS,5,1,2001-01-22,"A bill to amend the Federal Power Act to improve the hydroelectric licensing process by granting the Federal Energy Regulatory Commission statutory authority to better coordinate participation by other agencies and entities, and for other purposes.",Larry Craig,Energy,Republican
107,S,710,IS,1,25,2001-04-05,A bill to require coverage for colorectal cancer screenings.,Edward Kennedy,Health,Democrat
107,S,711,IS,1,1,2001-04-05,A bill to amend the Internal Revenue Code of 1986 to maintain exemption of Alaska from dyeing requirements for exempt diesel fuel and kerosene.,Frank Murkowski,Environment,Republican
107,S,712,IS,1,1,2001-04-05,A bill to prohibit commercial air tour operations over Yellowstone National Park and Grand Teton National Park.,Craig Thomas,Public_Lands,Republican
107,S,712,IS,2,1,2001-04-05,A bill to prohibit commercial air tour operations over Yellowstone National Park and Grand Teton National Park.,Craig Thomas,Public_Lands,Republican
107,S,713,IS,1,1,2001-04-05,A bill to amend the Internal Revenue Code of 1986 to provide a charitable deduction for certain expenses incurred in support a Native Alaskan subsistence whaling.,Frank Murkowski,Public_Lands,Republican
107,S,713,IS,2,1,2001-04-05,A bill to amend the Internal Revenue Code of 1986 to provide a charitable deduction for certain expenses incurred in support a Native Alaskan subsistence whaling.,Frank Murkowski,Public_Lands,Republican
107,S,714,IS,1,1,2001-04-05,"A bill to urge the United States Trade Representative to pursue the establishment of a small business advocate within the World Trade Organization, and for other purposes.",Olympia Snowe,Domestic_Commerce,Republican
107,S,715,IS,1,1,2001-04-05,A bill to designate 7 counties in the State of Montana as High Intensity Drug Trafficking Areas and authorize funding for drug control activities in those areas.,Max Baucus,Law_and_Crime,Democrat
107,S,716,IS,1,1,2001-04-05,"A bill to amend the Consolidated Farm and Rural Development Act to authorize the Secretary of Agricultural to make grants to nonprofit organizations to finance the construction, refurbishing, and servicing of individually-owned household water well systems in rural areas for individuals with low or moderate incomes.",Richard Santorum,Housing,Republican
107,S,716,IS,2,1,2001-04-05,"A bill to amend the Consolidated Farm and Rural Development Act to authorize the Secretary of Agricultural to make grants to nonprofit organizations to finance the construction, refurbishing, and servicing of individually-owned household water well systems in rural areas for individuals with low or moderate incomes.",Richard Santorum,Housing,Republican
107,S,717,IS,1,1,2001-04-05,"A bill to provide educational opportunities for disadvantaged children, and for other purposes.",John McCain,Education,Republican
107,S,717,IS,2,1,2001-04-05,"A bill to provide educational opportunities for disadvantaged children, and for other purposes.",John McCain,Education,Republican
107,S,717,IS,3,1,2001-04-05,"A bill to provide educational opportunities for disadvantaged children, and for other purposes.",John McCain,Education,Republican
107,S,717,IS,4,1,2001-04-05,"A bill to provide educational opportunities for disadvantaged children, and for other purposes.",John McCain,Education,Republican
107,S,717,IS,5,1,2001-04-05,"A bill to provide educational opportunities for disadvantaged children, and for other purposes.",John McCain,Education,Republican
107,S,717,IS,6,1,2001-04-05,"A bill to provide educational opportunities for disadvantaged children, and for other purposes.",John McCain,Education,Republican
107,S,717,IS,7,1,2001-04-05,"A bill to provide educational opportunities for disadvantaged children, and for other purposes.",John McCain,Education,Republican
107,S,717,IS,8,1,2001-04-05,"A bill to provide educational opportunities for disadvantaged children, and for other purposes.",John McCain,Education,Republican
107,S,717,IS,9,1,2001-04-05,"A bill to provide educational opportunities for disadvantaged children, and for other purposes.",John McCain,Education,Republican
107,S,717,IS,10,1,2001-04-05,"A bill to provide educational opportunities for disadvantaged children, and for other purposes.",John McCain,Education,Republican
107,S,717,IS,11,1,2001-04-05,"A bill to provide educational opportunities for disadvantaged children, and for other purposes.",John McCain,Education,Republican
107,S,718,IS,1,11,2001-04-05,"A bill to direct the National Institute of Standards and Technology to establish a program to support research and training in methods of detecting the use of performance-enhancing drugs by athletes, and for other purposes.",John McCain,Domestic_Commerce,Republican
107,S,718,IS,2,11,2001-04-05,"A bill to direct the National Institute of Standards and Technology to establish a program to support research and training in methods of detecting the use of performance-enhancing drugs by athletes, and for other purposes.",John McCain,Domestic_Commerce,Republican
107,S,718,IS,3,11,2001-04-05,"A bill to direct the National Institute of Standards and Technology to establish a program to support research and training in methods of detecting the use of performance-enhancing drugs by athletes, and for other purposes.",John McCain,Domestic_Commerce,Republican
107,S,718,IS,4,11,2001-04-05,"A bill to direct the National Institute of Standards and Technology to establish a program to support research and training in methods of detecting the use of performance-enhancing drugs by athletes, and for other purposes.",John McCain,Domestic_Commerce,Republican
107,S,718,IS,5,11,2001-04-05,"A bill to direct the National Institute of Standards and Technology to establish a program to support research and training in methods of detecting the use of performance-enhancing drugs by athletes, and for other purposes.",John McCain,Domestic_Commerce,Republican
107,S,719,IS,1,4,2001-04-05,A bill to amend Federal election law to provide for clean elections funded by clean money.,Paul Wellstone,Government_Operations,Democrat
107,S,719,IS,2,4,2001-04-05,A bill to amend Federal election law to provide for clean elections funded by clean money.,Paul Wellstone,Government_Operations,Democrat
107,S,719,IS,3,4,2001-04-05,A bill to amend Federal election law to provide for clean elections funded by clean money.,Paul Wellstone,Government_Operations,Democrat
107,S,719,IS,4,4,2001-04-05,A bill to amend Federal election law to provide for clean elections funded by clean money.,Paul Wellstone,Government_Operations,Democrat
107,S,719,IS,5,4,2001-04-05,A bill to amend Federal election law to provide for clean elections funded by clean money.,Paul Wellstone,Government_Operations,Democrat
107,S,719,IS,6,4,2001-04-05,A bill to amend Federal election law to provide for clean elections funded by clean money.,Paul Wellstone,Government_Operations,Democrat
107,S,719,IS,7,4,2001-04-05,A bill to amend Federal election law to provide for clean elections funded by clean money.,Paul Wellstone,Government_Operations,Democrat
107,S,719,IS,8,4,2001-04-05,A bill to amend Federal election law to provide for clean elections funded by clean money.,Paul Wellstone,Government_Operations,Democrat
