session,chamber,number,type,section,Cosponsr,IntrDate,Title,NameFull,major_topic_label,party_name
112,S,442,IS,1,1,2011-03-02,A bill for the relief of Robert Liang and Alice Liang.,Dianne Feinstein,Private_Bill,Democrat
112,S,443,IS,1,1,2011-03-02,A bill for the relief of Javier Lopez-Urenda and Maria Leticia Arenas.,Dianne Feinstein,Private_Bill,Democrat
112,S,444,IS,1,1,2011-03-02,A bill for the relief of Shirley Constantino Tan.,Dianne Feinstein,Private_Bill,Democrat
112,S,445,IS,1,1,2011-03-02,"A bill for the relief of Jorge Rojas Gutierrez, Olivia Gonzalez Gonzalez, and Jorge Rojas Gonzalez.",Dianne Feinstein,Private_Bill,Democrat
112,S,446,IS,1,1,2011-03-02,"A bill for the relief of Ruben Mkoian, Asmik Karapetian, and Arthur Mkoyan.",Dianne Feinstein,Private_Bill,Democrat
112,S,447,IS,1,1,2011-03-02,"A bill for the relief of Jose Alberto Martinez Moreno, Micaela Lopez Martinez, and Adilene Martinez.",Dianne Feinstein,Private_Bill,Democrat
112,S,448,IS,1,1,2011-03-02,"A bill for the relief of Shina Ma ""Steve"" Li.",Dianne Feinstein,Private_Bill,Democrat
112,S,449,IS,1,1,2011-03-02,A bill for the relief of Joseph Gabra and Sharon Kamel.,Dianne Feinstein,Private_Bill,Democrat
112,S,45,IS,1,8,2011-01-25,A bill to amend the Internal Revenue Code of 1986 to provide for the taxation of income of controlled foreign corporations attributable for imported property.,Sheldon Whitehouse,Macroeconomics,Democrat
112,S,45,IS,2,8,2011-01-25,A bill to amend the Internal Revenue Code of 1986 to provide for the taxation of income of controlled foreign corporations attributable for imported property.,Sheldon Whitehouse,Macroeconomics,Democrat
112,S,450,IS,1,1,2011-03-02,A bill for the relief of Jacqueline W. Coats.,Dianne Feinstein,Private_Bill,Democrat
112,S,451,IS,1,1,2011-03-02,A bill for the relief of Claudia Marquez Rico.,Dianne Feinstein,Private_Bill,Democrat
112,S,452,IS,1,1,2011-03-02,A bill for the relief of Alfredo Plascencia Lopez and Maria Del Refugio Plascencia.,Dianne Feinstein,Private_Bill,Democrat
112,S,453,IS,1,8,2011-03-02,"A bill to improve the safety of motorcoaches, and for other purposes.",Sherrod Brown,Transportation,Democrat
112,S,453,IS,2,8,2011-03-02,"A bill to improve the safety of motorcoaches, and for other purposes.",Sherrod Brown,Transportation,Democrat
112,S,453,IS,3,8,2011-03-02,"A bill to improve the safety of motorcoaches, and for other purposes.",Sherrod Brown,Transportation,Democrat
112,S,453,IS,4,8,2011-03-02,"A bill to improve the safety of motorcoaches, and for other purposes.",Sherrod Brown,Transportation,Democrat
112,S,453,IS,5,8,2011-03-02,"A bill to improve the safety of motorcoaches, and for other purposes.",Sherrod Brown,Transportation,Democrat
112,S,453,IS,6,8,2011-03-02,"A bill to improve the safety of motorcoaches, and for other purposes.",Sherrod Brown,Transportation,Democrat
112,S,453,IS,7,8,2011-03-02,"A bill to improve the safety of motorcoaches, and for other purposes.",Sherrod Brown,Transportation,Democrat
112,S,453,IS,8,8,2011-03-02,"A bill to improve the safety of motorcoaches, and for other purposes.",Sherrod Brown,Transportation,Democrat
112,S,453,IS,9,8,2011-03-02,"A bill to improve the safety of motorcoaches, and for other purposes.",Sherrod Brown,Transportation,Democrat
