session,chamber,number,type,section,Cosponsr,IntrDate,Title,NameFull,major_topic_label,party_name
108,S,2520,IS,3,8,2004-06-15,A bill to provide for paid sick leave to ensure that Americans can address their own health needs and the health needs of their families.,Edward Kennedy,Labor,Democrat
108,S,2520,IS,4,8,2004-06-15,A bill to provide for paid sick leave to ensure that Americans can address their own health needs and the health needs of their families.,Edward Kennedy,Labor,Democrat
108,S,2520,IS,5,8,2004-06-15,A bill to provide for paid sick leave to ensure that Americans can address their own health needs and the health needs of their families.,Edward Kennedy,Labor,Democrat
108,S,2520,IS,6,8,2004-06-15,A bill to provide for paid sick leave to ensure that Americans can address their own health needs and the health needs of their families.,Edward Kennedy,Labor,Democrat
108,S,2520,IS,7,8,2004-06-15,A bill to provide for paid sick leave to ensure that Americans can address their own health needs and the health needs of their families.,Edward Kennedy,Labor,Democrat
108,S,2520,IS,8,8,2004-06-15,A bill to provide for paid sick leave to ensure that Americans can address their own health needs and the health needs of their families.,Edward Kennedy,Labor,Democrat
108,S,2520,IS,9,8,2004-06-15,A bill to provide for paid sick leave to ensure that Americans can address their own health needs and the health needs of their families.,Edward Kennedy,Labor,Democrat
108,S,2520,IS,10,8,2004-06-15,A bill to provide for paid sick leave to ensure that Americans can address their own health needs and the health needs of their families.,Edward Kennedy,Labor,Democrat
108,S,2520,IS,11,8,2004-06-15,A bill to provide for paid sick leave to ensure that Americans can address their own health needs and the health needs of their families.,Edward Kennedy,Labor,Democrat
108,S,2520,IS,12,8,2004-06-15,A bill to provide for paid sick leave to ensure that Americans can address their own health needs and the health needs of their families.,Edward Kennedy,Labor,Democrat
108,S,2521,IS,1,1,2004-06-15,A bill to suspend temporarily the duty on certain rayon staple fibers.,Susan Collins,Foreign_Trade,Republican
108,S,2522,IS,1,6,2004-06-15,"A bill to amend title 38, United States Code, to increase the maximum amount of home loan guaranty available under the home loan guaranty program of the Department of Veterans Affairs, and for other purposes.",Jon Corzine,Housing,Democrat
108,S,2523,IS,1,1,2004-06-16,A bill to exempt the Great Plains Region and Rocky Mountain Region of the Bureau of Indian Affairs from trust reform reorganization pending the submission of Agency-specific reorganization plans.,Thomas Daschle,Public_Lands,Democrat
108,S,2524,IS,1,1,2004-06-16,"A bill to amend title 38, United States Code, to improve the provision of health care, rehabilitation, and related services to veterans suffering from trauma relating to a blast injury, and for other purposes.",Bob Graham,Health,Democrat
108,S,2525,IS,1,9,2004-06-16,A bill to establish regional dairy marketing areas to stabilize the price of milk and support the income of dairy producers.,Arlen Specter,Agriculture,Republican
108,S,2525,IS,2,9,2004-06-16,A bill to establish regional dairy marketing areas to stabilize the price of milk and support the income of dairy producers.,Arlen Specter,Agriculture,Republican
108,S,2525,IS,3,9,2004-06-16,A bill to establish regional dairy marketing areas to stabilize the price of milk and support the income of dairy producers.,Arlen Specter,Agriculture,Republican
108,S,2526,IS,1,24,2004-06-16,A bill to reauthorize the Children's Hospitals Graduate Medical Education Program.,Christopher Bond,Health,Republican
108,S,2526,IS,2,24,2004-06-16,A bill to reauthorize the Children's Hospitals Graduate Medical Education Program.,Christopher Bond,Health,Republican
108,S,2527,IS,1,1,2004-06-16,A bill to suspend the duty on certain educational toys and devices.,Dianne Feinstein,Foreign_Trade,Democrat
108,S,2528,IS,1,5,2004-06-16,"A bill to restore civil liberties under the First Amendment, the Immigration and Nationality Act, and the Foreign Intelligence Surveillance Act, and for other purposes.",Edward Kennedy,Civil_Rights,Democrat
108,S,2528,IS,2,5,2004-06-16,"A bill to restore civil liberties under the First Amendment, the Immigration and Nationality Act, and the Foreign Intelligence Surveillance Act, and for other purposes.",Edward Kennedy,Civil_Rights,Democrat
108,S,2528,IS,3,5,2004-06-16,"A bill to restore civil liberties under the First Amendment, the Immigration and Nationality Act, and the Foreign Intelligence Surveillance Act, and for other purposes.",Edward Kennedy,Civil_Rights,Democrat
108,S,2528,IS,4,5,2004-06-16,"A bill to restore civil liberties under the First Amendment, the Immigration and Nationality Act, and the Foreign Intelligence Surveillance Act, and for other purposes.",Edward Kennedy,Civil_Rights,Democrat
108,S,2528,IS,5,5,2004-06-16,"A bill to restore civil liberties under the First Amendment, the Immigration and Nationality Act, and the Foreign Intelligence Surveillance Act, and for other purposes.",Edward Kennedy,Civil_Rights,Democrat
108,S,2528,IS,6,5,2004-06-16,"A bill to restore civil liberties under the First Amendment, the Immigration and Nationality Act, and the Foreign Intelligence Surveillance Act, and for other purposes.",Edward Kennedy,Civil_Rights,Democrat
108,S,2528,IS,7,5,2004-06-16,"A bill to restore civil liberties under the First Amendment, the Immigration and Nationality Act, and the Foreign Intelligence Surveillance Act, and for other purposes.",Edward Kennedy,Civil_Rights,Democrat
108,S,2528,IS,8,5,2004-06-16,"A bill to restore civil liberties under the First Amendment, the Immigration and Nationality Act, and the Foreign Intelligence Surveillance Act, and for other purposes.",Edward Kennedy,Civil_Rights,Democrat
